,articles
0,"Stocks ended a wobbly day with mixed results on Wall Street Stocks ended a wobbly day with mixed results on Wall Street. The S&P 500 index gave up an early gain and ended 0.1% lower Friday, giving the benchmark index its second losing week in a row. Losses for a handful of Big Tech companies including Apple and Amazon helped drag the index lower. The Nasdaq gave back 0.5% and the Dow Jones Industrial Average rose 0.4%. Investors remain focused on the possibility of inflation as the economy revs up after more than a year of shutdowns related to the pandemic. On Friday: The S&P 500 fell 3.26 points, or 0.1%, to 4,155.86. The Dow Jones Industrial Average rose 123.69 points, or 0.4%, to 34,207.84. The Nasdaq fell 64.75 points, or 0.5%, to 13,470.99. The Russell 2000 index of smaller companies rose 7.51 points, or 0.3%, to 2,215.27. For the week: The S&P 500 is down 17.99 points, or 0.4%. The Dow is down 174.29 points, or 0.5%. The Nasdaq is up 41.02 points, or 0.3%. The Russell 2000 is down 9.36 points, or 0.4%. For the year: The S&P 500 is up 399.79 points, or 10.6%. The Dow is up 3,601.36 points, or 11.8%. The Nasdaq is up 582.71 points, or 4.5%. The Russell 2000 is up 240.41 points, or 12.2%. 24/7 coverage of breaking news and live events"
1,"Lady Gaga says she got pregnant at 19 after being raped by a music producer early in her career, a trauma that triggered a “total psychotic break.” Lady Gaga to LGBTQ community: 'I would take a bullet for you'  Lady Gaga says she got pregnant at 19 after being raped by a music producer early in her career, a trauma that triggered a “total psychotic break.” The singer-songwriter opened up about the ordeal on         Oprah Winfrey and Prince Harry’s Apple TV+ show “The Me You Can’t See,” which focuses on mental health. Lady Gaga, whose hits include “Born This Way” and “Shallow,” recalled having a “total psychotic break” years after she was raped. “For a couple years, I was not the same girl,” she said. Gaga said she was later diagnosed with PTSD after going to the hospital for chronic pain. The Grammy and Oscar-winner said the producer kept her “locked way” in a studio and threatened to burn her music if she didn’t take off her clothes, The singer refused to name the producer, explaining she doesn’t “ever want to face that person again.” Gaga first publicly told Howard Stern in a 2014 interview that she had been raped by a producer 20 years older than her, saying it inspired her 2013 track “Swine.” 24/7 coverage of breaking news and live events"
2,"Stocks ended a wobbly day with mixed results on Wall Street BANGKOK -- Wall Street racked up more losses Friday on a choppy day of trading that left the major indexes mixed and the S&P 500 with its second straight weekly decline. The S&P 500 ended 0.1% lower after having been up 0.7% in the early going. The benchmark index, which hit an all-time high two weeks ago, lost 0.4% this week. That follows a 1.4% loss last week. Gains for banks and health care companies were kept in check by drops in technology stocks and in companies like Tesla, McDonald's and Amazon.com that rely directly on consumer spending. Energy stocks eked out a small gain as the price of U.S. crude oil rose. Treasury yields were mixed. The market's latest bout of selling come as investors remain focused on the possibility of inflation as the economy stirs to life following more than a year of shutdowns related to the COVID-19 pandemic. “The market is trying to digest signs of incipient inflation that may be more than transitory, with what the Fed’s reaction might be,” said Alicia Levine, chief strategist at BNY Mellon Investment Management. The S&P 500 slipped 3.26 points to 4,155.86, while the Nasdaq slid 64.75 points, or 0.5%, to 13,470.99. The Dow Jones Industrial Average fared better, gaining 123.69 points, or 0.4%, to 34,207.84. Small company stocks also notched gains. The Russell 2000 index picked up 7.51 points, or 0.3%, to 2,215.27. The market's pullback this month reflects heightened unease among traders that rising inflation may prompt central banks to pull back on their efforts to support job growth before the economic recovery is fully realized. The Federal Reserve has said it expects any bump in inflation to be temporary, though investors are uncertain about how hot inflation could become. Analysts have also said investors are looking further ahead, beyond the recovery, and wary about potential tax changes and the impact they may have on growth. The U.S. Treasury Department supports a         global minimum corporate tax rate of at least 15% as part of an effort to end what it calls “a race to the bottom’’ as countries compete with each other to cut corporate tax rates and lure multinational companies. Solid earnings helped lift several companies Friday. Foot Locker rose 2% after reporting solid first-quarter earnings and revenue. Agricultural equipment maker Deere gained 1.3% after beating Wall Street’s fiscal second-quarter profit forecasts. Oatmilk maker         Oatly rose another 11.2%, following the 19% climb it made a day earlier on its first day of trading. Nvidia, the graphics card and chip manufacturer, rose 2.6% after the company announced a four-for-one stock split. Nvidia was one of the biggest gainers of 2020. Treasury yields were mostly stable. The yield on the 10-year Treasury note fell to 1.62% from 1.63% late Thursday. The price of Bitcoin also turned choppy following headlines out of China, where a government official said in a statement that the country is focused on cracking down on Bitcoin “mining and trading behavior.” Earlier this week, the price of Bitcoin and other digital currencies fell sharply after China’s banking association issued a warning over the risks associated with digital currencies. The price of Bitcoin gave up 12% to about $35,412, according to crypto news and information site Coindesk. 24/7 coverage of breaking news and live events"
3,"Apple CEO Tim Cook will take the witness stand Friday to defend the company’s iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs ever envisioned SAN RAMON, Calif. -- Apple CEO Tim Cook will take the witness stand Friday to defend the company's iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs envisioned when it opened up 13 years ago. The technology company is counting on Cook's appearance to put the finishing touches on Apple's defense against an antitrust case brought by Epic Games, maker of the popular video game Fortnite. Epic is trying to topple the so-called “walled garden"" for iPhone and iPad apps that welcomes users and developers while keeping competition out. Created by Jobs a year after the iPhone's 2007 debut, the App Store has become a key revenue source for Apple, a money-making machine that helped power the company to a $57 billion profit in its last fiscal year. Epic is trying to prove that the store has morphed into a price-gouging vehicle that not only reaps a 15% to 30% commission from in-app transactions, but blocks apps from offering other payment alternatives. That extends to just showing a link that would open a web page offering commission-free ways to pay for subscriptions, in-game items and the like. Apple fiercely defends the commissions as a fair way for app makers to help pay for innovations and security controls that have benefited both iPhone users and app developers, including Epic. Apple says it has invested more than $100 billion in such features. It also argues that App Store commissions mirror fees charged by major video game consoles — Sony's PlayStation, Microsoft's Xbox and Nintendo's Switch — as well as a similar app store run by Google for more than 3 billion mobile Android devices. That is roughly twice the number of active iPhones, iPads and iPods that rely on Apple's store for apps. Apple's ironclad control over the App Store is already under investigation by regulators and lawmakers in Europe and the U.S. Epic lawyers are expected to spend several hours grilling Cook on the stand. The questioning is likely to dissect the strategies Cook has drawn up since taking the CEO job nearly a decade ago, just a few months before Jobs died of cancer in October 2011. The App Store ranks among Apple's biggest successes during Cook's reign. Since beginning with just 500 apps in 2008 the store has ballooned to 1.8 million apps, most of which are free. Apple has drawn upon its commissions and exclusive in-app payment system to help more than double the annual revenue of its services division from $24 billion in fiscal 2016 to $54 billion last year. This boom wasn't something Jobs foresaw. Shortly after the store opened, Jobs publicly said Apple didn't expect the App Store to be very lucrative. Epic's lawyers have repeatedly cited those comments as evidence that Apple reshaped the store to fuel its earnings growth once the popularity of mobile apps became clear. Exactly how profitable the App Store is has been a point of contention throughout the three-week trial. An accounting expert hired by Epic estimated that its profit margins range from 70% to 80%, based on a review of confidential Apple documents. But Apple has insisted those numbers aren't accurate because they don't reflect expenses spread throughout the company's operations. Phil Schiller, a longtime Apple executive and former Jobs confidant, conceded earlier this week that the company's commission system had generated more than $20 billion in revenue through June 2017. Epic lawyer Katherine Forrest had presented him with that estimate, based on numbers that         Apple publicly released  in mid-2017. Epic's questioning of Schiller may foreshadow how Epic's lawyers intend to go after Cook, who is generally unflappable in public and tightly focused on his message when dealing with reporters and lawmakers. Epic's lawyers have repeatedly referred to internal exchanges involving Jobs and other executives to depict Apple as using its investment in security and personal privacy as an excuse for preserving the huge profits that flow from its app store. During Schiller's testimony, for instance, Epic's lawyers submitted a 2008 email Jobs sent to Schiller and another executive. In that note, Jobs wondered whether Google was taking aim at the then-nascent ad market that was emerging on the iPhone, which relies on operating software called iOS. “The more energy they devote to iOS the better,"" Jobs wrote to Schiller. Forrest then challenged Schiller with two questions. “You wanted Google to be beholden to Apple?"" she asked, soon following with, “You were basking in the power to destroy a company's business?"" Schiller answered no to both questions. 24/7 coverage of breaking news and live events"
4,"Apple CEO Tim Cook will take the witness stand Friday to defend the company’s iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs ever envisioned SAN RAMON, Calif. -- Apple CEO Tim Cook will take the witness stand Friday to defend the company's iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs envisioned when it opened up 13 years ago. The technology company is counting on Cook's appearance to put the finishing touches on Apple's defense against an antitrust case brought by Epic Games, maker of the popular video game Fortnite. Epic is trying to topple the so-called “walled garden"" for iPhone and iPad apps that welcomes users and developers while keeping competition out. Created by Jobs a year after the iPhone's 2007 debut, the App Store has become a key revenue source for Apple, a money-making machine that helped power the company to a $57 billion profit in its last fiscal year. Epic is trying to prove that the store has morphed into a price-gouging vehicle that not only reaps a 15% to 30% commission from in-app transactions, but blocks apps from offering other payment alternatives. That extends to just showing a link that would open a web page offering commission-free ways to pay for subscriptions, in-game items and the like. Apple fiercely defends the commissions as a fair way for app makers to help pay for innovations and security controls that have benefited both iPhone users and app developers, including Epic. Apple says it has invested more than $100 billion in such features. It also argues that App Store commissions mirror fees charged by major video game consoles — Sony's PlayStation, Microsoft's Xbox and Nintendo's Switch — as well as a similar app store run by Google for more than 3 billion mobile Android devices. That is roughly twice the number of active iPhones, iPads and iPods that rely on Apple's store for apps. Apple's ironclad control over the App Store is already under investigation by regulators and lawmakers in Europe and the U.S. Epic lawyers are expected to spend several hours grilling Cook on the stand. The questioning is likely to dissect the strategies Cook has drawn up since taking the CEO job nearly a decade ago, just a few months before Jobs died of cancer in October 2011. The App Store ranks among Apple's biggest successes during Cook's reign. Since beginning with just 500 apps in 2008 the store has ballooned to 1.8 million apps, most of which are free. Apple has drawn upon its commissions and exclusive in-app payment system to help more than double the annual revenue of its services division from $24 billion in fiscal 2016 to $54 billion last year. This boom wasn't something Jobs foresaw. Shortly after the store opened, Jobs publicly said Apple didn't expect the App Store to be very lucrative. Epic's lawyers have repeatedly cited those comments as evidence that Apple reshaped the store to fuel its earnings growth once the popularity of mobile apps became clear. Exactly how profitable the App Store is has been a point of contention throughout the three-week trial. An accounting expert hired by Epic estimated that its profit margins range from 70% to 80%, based on a review of confidential Apple documents. But Apple has insisted those numbers aren't accurate because they don't reflect expenses spread throughout the company's operations. Phil Schiller, a longtime Apple executive and former Jobs confidant, conceded earlier this week that the company's commission system had generated more than $20 billion in revenue through June 2017. Epic lawyer Katherine Forrest had presented him with that estimate, based on numbers that         Apple publicly released  in mid-2017. Epic's questioning of Schiller may foreshadow how Epic's lawyers intend to go after Cook, who is generally unflappable in public and tightly focused on his message when dealing with reporters and lawmakers. Epic's lawyers have repeatedly referred to internal exchanges involving Jobs and other executives to depict Apple as using its investment in security and personal privacy as an excuse for preserving the huge profits that flow from its app store. During Schiller's testimony, for instance, Epic's lawyers submitted a 2008 email Jobs sent to Schiller and another executive. In that note, Jobs wondered whether Google was taking aim at the then-nascent ad market that was emerging on the iPhone, which relies on operating software called iOS. “The more energy they devote to iOS the better,"" Jobs wrote to Schiller. Forrest then challenged Schiller with two questions. “You wanted Google to be beholden to Apple?"" she asked, soon following with, “You were basking in the power to destroy a company's business?"" Schiller answered no to both questions. 24/7 coverage of breaking news and live events"
5,"by Thomas Smith, Editorial Content Director, Disney Parks Disney PhotoPass Service is teaming up with Snap to show you Walt Disney World Resort in a whole new way, with magical augmented reality experiences to share with your friends and family – and featuring some of your favorite Disney characters. It all starts with new ways to meet up with Mickey Mouse and Minnie Mouse at the resort, with Snapchat Lenses starring your favorite duo. Mickey and Minnie will be right beside you in Snapchat with their playful expressions and gestures. They can even give you a hug!  The Mickey Mouse and Minnie Mouse Lenses will be available in the Snapchat app* only at Walt Disney World Resort, but to celebrate the launch – and other special experiences to come! – you can try them at home, anywhere in the U.S., until June 3.  We can’t wait for you to show us your Disney spirit on Snapchat! Find the Mickey Mouse and Minnie Mouse Lenses on the new Disney PhotoPass Snapchat profile – plus more fun Walt Disney World stories on the Walt Disney World Snapchat profile.  This is just the beginning. We’re working with Snap on more amazing photo experiences, including some magical surprises in celebration of the Walt Disney World Resort 50th anniversary.  Generations have come to Walt Disney World Resort to escape the everyday, be part of their favorite Disney stories, and travel to new worlds. This fall, The World’s Most Magical Celebration will bring Disney fans together to commemorate 50 incredible years of magic.  To mark the occasion, Disney PhotoPass Service is working with Snap to virtually transform Cinderella Castle. With the My Disney Experience app, you’ll be able to place your favorite image captured by Disney PhotoPass photographers on the iconic castle with augmented reality. Look through your camera lens in the app and you’ll see a beautiful mosaic of special moments shared by our guests to celebrate the 50th. The best part is, you can share your memory with your friends and family, and the next time you return during the 18-month 50th Celebration, your photo will be there waiting for you!  There will be even more to discover in the My Disney Experience app this fall – including special Disney PhotoPass Lenses you can use right from the app, powered by Snap’s camera technology. You’ll be able to take selfies with your favorite Disney characters, experience unique Walt Disney World moments, and even make some magic of your very own with augmented reality! There will be more news to share ahead of the 50th anniversary, so stay tuned. We’re just getting started and always discovering new ways to bring Disney stories and characters to life – whether you meet us at one of our Disney destinations, at home, or online. And every day, we’re exploring how technology can help us bridge the physical and digital worlds to create unforgettable moments for our guests. It’s all so that you can experience even more magic with the people you care about and be part of the stories you love. And with so many fan-favorite characters, theme park icons, and Disney adventures at our fingertips, the possibilities are practically endless for what we call the ‘theme park metaverse.’  We can’t wait to show you what else we’re working on, so keep an eye on the Disney Park Blog and get ready for more amazing experiences to come! *Snapchat is available for download on the Apple App Store and the Google Play Store.  Snapchat requires separate registration. Separate terms of use and privacy policy apply. Message, data and roaming rates may apply. Availability subject to handset imitations, and features may vary by handset, service provider or otherwise. Coverage and app stores not available everywhere. Some features require separate theme park admission. Destinations: Walt Disney World Resort by Laurel Slater, Manager of Communications, Walt Disney World Public Affairs by Dr. Mark Penning, Vice President, Animals, Science and Environment, Disney Parks by Emily Amato, Public Relations Manager by Thomas Smith, Editorial Content Director, Disney Parks 

      Start planning your dream Disney Vacation
      View Videos
 © Disney, All Rights Reserved 
Sign Up
 By submitting this form, you are granting Disney Parks Blog permission to email you. You can revoke permission to mail your email address at any time using the unsubscribe link, found at the bottom of every email. We take your privacy seriously. For more information on our data collection and use practices, please read our Privacy Policy. By providing my email address I'd like to receive updates, special offers, and other information via electronic messages and postal mail from Disney Destinations, LLC and other members of The Walt Disney Family of Companies. You can withdraw your consent for these messages at any time. For more information on our data collection and use practices, and managing your preferences, please read our privacy policy."
6,"by Thomas Smith, Editorial Content Director, Disney Parks Today marks the 25th anniversary of un-fore-gettable fun golfing adventures at Fantasia Gardens at Walt Disney World Resort. And to celebrate this one-of-a-kind golf experience inspired by Walt Disney’s classic animated film “Fantasia” – we’re sharing a new, downloadable wallpaper created especially for the occasion!   Desktop/iPad | iPhone/Android/Apple Watch As many of you know, the 36 holes of golf at Fantasia Gardens are split into two courses – Fantasia Gardens and Fantasia Fairways – and both are must-dos during a visit, especially this time of year!    With Fantasia Gardens, you must skillfully putt through whimsical scenes featuring tutu-clad hippos and other zany characters, including mischievous broomsticks ready to surprise passing golfers. And at Fantasia Fairways, there are fantastically fun challenges like sand traps, bunkers and even water hazards. When the courses opened on May 20, 1996, a few famous friends were on hand to try their luck at the courses and we found a few special images in our Disney Parks Blog archives to add to today’s celebration!  We hope you enjoy the new Fantasia Gardens wallpaper! Be sure to check out the terms of use about using the wallpaper before you download it.  Also, visit our complete gallery of wallpapers here. Topics: Wallpapers Not a visit to WDW goes by without at least one round at Fantasia!  Awesome place!   FORE! by Thomas Smith, Editorial Content Director, Disney Parks 

      Start planning your dream Disney Vacation
      View Videos
 © Disney, All Rights Reserved 
Sign Up
 By submitting this form, you are granting Disney Parks Blog permission to email you. You can revoke permission to mail your email address at any time using the unsubscribe link, found at the bottom of every email. We take your privacy seriously. For more information on our data collection and use practices, please read our Privacy Policy. By providing my email address I'd like to receive updates, special offers, and other information via electronic messages and postal mail from Disney Destinations, LLC and other members of The Walt Disney Family of Companies. You can withdraw your consent for these messages at any time. For more information on our data collection and use practices, and managing your preferences, please read our privacy policy."
7,"A new Apple TV+ series makes the case, at some length, that 1971 was a landmark year in how popular music reflected the tumultuous times NEW YORK -- Chrissie Hynde wouldn't make her own mark in music until a few years later, but her memories of how 1971's daily soundtrack was tied to the times remain vivid. “Music said something,” the Pretenders' leader and Rock and Roll Hall of Fame member says at the start of         “1971: The Year That Music Changed Everything,” an eight-part documentary series that premieres Friday on the Apple TV+ streaming service. Hynde had just dropped out of Kent State University in Ohio, where a year earlier four students were shot and killed by the National Guard. Neil Young's incendiary song about the incident, “Ohio,” played as she told her story. Her three words essentially provide the theme statement for the series' producers. They document, through indelible work made that year by Marvin Gaye, Carole King, John Lennon and many others, how musicians responded at a time when the 1960s dream was dying and it was unclear what would replace it. “Some people run away and hide themselves in drugs,” said James Gay-Rees, one of the series' executive producers. “Some people write protest music and some people find their identity. It's such a brilliant tipping point, really.” It was the year of Gaye's “What's Going On,” No. 1 on Rolling Stone magazine's list of the top 500 albums of all time. Joni Mitchell's “Blue.” King's “Tapestry.” Lennon's “Imagine.” The Rolling Stones' “Sticky Fingers.” Sly & the Family Stone's “There's a Riot Goin' On.” David Bowie's hit “Changes.” Gil Scott-Heron's song that became a catchphrase, “The Revolution Will Not Be Televised.” Gay-Rees was 4 years old at the time. It took three years to make the series, mostly because of the arduous task of securing rights to about 150 pieces of music, after he was intrigued by the David Hepworth book, “1971 — Never a Dull Moment: Rock's Golden Year."" After a somewhat unfocused first episode, the series settles in with more thematic subsequent pieces. One episode focuses on King and Mitchell and the breaking down of sexual barriers, while “The Revolution Will Not Be Televised” zeroes in on Black musicians and how they addressed issues like poverty and treatment by authorities with work that sounds fresh today. Gay-Rees said he wanted to avoid the look of traditional music documentaries, with shots of creators sitting in control rooms talking about why they added this instrument or that beat. Instead, songwriting is talked about in the context of the times, so the series feels as much about the history of the year as the music. “You can't really make a film about John Lennon writing ‘Imagine’ without asking why he wrote ‘Imagine,’"" he said. Besides the crucial music clearances, producers deserve credit for all of the video they dug up, including film of Lennon, producer Phil Spector and musicians recording the “Imagine” album. In another priceless clip, President Richard Nixon introduces a performance by the Ray Conniff Singers at the White House by saying, “if the music is square, it's because I like it square.” Nixon keeps a frozen smile as one of the singers holds up a sign protesting the Vietnam War. Similarly, the “Revolution” episode contains brutal footage of the Attica Prison riot with a discussion of Aretha Franklin's participation in a benefit for victims. Other topics include the emergence of glam rock in the aftermath of the Beatles' breakup, how James Brown and other Black artists fought against racism, the rise of hard drugs and how it affected artists like the Rolling Stones and Sly Stone, and how George Harrison's “Concert for Bangla Desh” provided a template for future benefits. While Gay-Rees said he's “not prone to nostalgia,” it's hard to dismiss the quality of the songwriting. Was it the best year ever for popular music? “You can argue whether it was ‘66 or 1950 or ’71,” he said. “But it was a pretty good year by anybody's measure.” 24/7 coverage of breaking news and live events"
8,"Today in History Today is Thursday, May 20, the 140th day of 2021. There are 225 days left in the year. Today’s Highlight in History: On May 20, 1927, Charles Lindbergh took off from Roosevelt Field on Long Island, New York, aboard the Spirit of St. Louis on his historic solo flight to France. On this date: In 1506, explorer Christopher Columbus died in Spain. In 1862, President Abraham Lincoln signed the Homestead Act, which was intended to encourage settlements west of the Mississippi River by making federal land available for farming. In 1932, Amelia Earhart took off from Newfoundland to become the first woman to fly solo across the Atlantic. (Because of weather and equipment problems, Earhart set down in Northern Ireland instead of her intended destination, France.) In 1948, Chiang Kai-shek (chang ky-shehk) was inaugurated as the first president of the Republic of China (Taiwan). In 1956, the United States exploded the first airborne hydrogen bomb over Bikini Atoll in the Pacific. In 1959, nearly 5,000 Japanese-Americans had their U.S. citizenships restored after choosing to renounce them during World War II. In 1961, a white mob attacked a busload of Freedom Riders in Montgomery, Alabama, prompting the federal government to send in U.S. marshals to restore order. In 1978, Japan’s Narita International Airport began operations after years of protests over its construction by local residents. In 1985, Radio Marti, operated by the U.S. government, began broadcasting; Cuba responded by attempting to jam its signal. In 1995, President Bill Clinton announced that the two-block stretch of Pennsylvania Avenue in front of the White House would be permanently closed to motor vehicles as a security measure. In 2009, suspended NFL star Michael Vick was released after 19 months in prison for running a dogfighting ring to begin two months’ home confinement. In 2015, four of the world’s biggest banks — JPMorgan Chase, Citigroup’s banking unit Citicorp, Barclays and the Royal Bank of Scotland — agreed to pay more than $5 billion in penalties and plead guilty to rigging the currency markets. Ten years ago: Israeli Prime Minister Benjamin Netanyahu rejected the idea of using his country’s 1967 boundaries as the basis for a neighboring Palestinian state, declaring his objections during a face-to-face meeting with President Barack Obama, who had raised the idea in an effort to revive stalled Mideast peace talks. Randy “Macho Man” Savage, 58, a larger-than-life personality from professional wrestling’s 1980s heyday, died in Pinellas County, Florida. Five years ago: A U.S. Secret Service officer shot a man with a gun who had approached a checkpoint outside the White House and refused to drop his weapon; Jesse Olivieri of Ashland, Pennsylvania, was later sentenced to eight months’ confinement. One year ago: President Donald Trump threatened to hold up federal funds for two election battleground states (Michigan and Nevada) that were making it easier to vote by mail during the pandemic. Police ticketed seven people for cutting hair during a protest against coronavirus restrictions outside the Michigan Capitol, where about a dozen barbers and hair stylists defied stay-at-home orders to give free haircuts. Apple and Google released smartphone technology that could notify people if they might have been exposed to the coronavirus. Former Green Beret Michael Taylor and his son Peter were arrested in Massachusetts on charges that they had smuggled Nissan Chairman Carlos Ghosn from Japan to Lebanon in a box as he faced financial misconduct charges. (The Taylors were extradited to Japan in March 2021.) Government figures showed that U.S. births continued to fall in 2019, leading to the lowest number of newborns in 35 years. Today’s Birthdays: Actor-author James McEachin is 91. Actor Anthony Zerbe is 85. Actor David Proval is 79. Singer-actor Cher is 75. Actor-comedian Dave Thomas is 73. Rock musician Warren Cann is 71. Sen. Mike Crapo, R-Idaho, is 70. Former New York Gov. David Paterson is 67. Delaware Gov. John Carney is 65. Actor Dean Butler is 65. TV-radio personality Ron Reagan is 63. Rock musician Jane Wiedlin (The Go-Go’s) is 63. Actor Bronson Pinchot is 62. Singer Susan Cowsill is 62. Actor John Billingsley is 61. Actor Tony Goldwyn is 61. Singer Nick Heyward is 60. TV personality Ted Allen is 56. Actor Mindy Cohn is 55. Rock musician Tom Gorman (Belly) is 55. Actor Gina Ravera is 55. Actor Timothy Olyphant is 53. Former race car driver Tony Stewart is 50. Rapper Busta Rhymes is 49. Actor Daya Vaidya is 48. Actor Matt Czuchry (zoo-KREE’) is 44. Actor Angela Goethals is 44. Actor-singer Naturi Naughton is 37. Country singer Jon Pardi is 36. 24/7 coverage of breaking news and live events"
9,"Apple CEO Tim Cook will take the witness stand on Friday in a high-stakes courtroom battle SAN RAMON, Calif -- Apple CEO Tim Cook will take the witness stand this Friday in a high-stakes courtroom battle over the lucrative commissions the iPhone maker has been raking in from its mobile app store. The timing of Cook's highly anticipated testimony was confirmed Wednesday when a federal judge granted Apple's request to allow the 60-year-old executive to be the first witness sworn in Friday morning during         a trial that has been unfolding  in an Oakland, California, courtroom since the beginning of this month. The trial revolves around an antitrust lawsuit filed last year by Epic Games, the maker of the popular video game Fortnite. Epic is trying prove that commissions ranging from 15% to 30% on transactions in apps installed on iPhones, iPads and iPods are part of a monopoly that Apple has created around a fortress blocking other payment options on its mobile devices. Apple has brushed off the allegations as a desperate attempt by Epic to boost its own profits by breaching a contract covering a system that requires a small portion of the 1.8 million apps in its store to pay the commissions on transactions. Apple says the commissions help it pay for the technology powering its products, including the security and privacy protections that has helped make iPhone so popular. Cook will be taking the stand as Apple prepares to wrap its case before the two sides make their closing arguments and answer U.S. District Judge Yvonne Gonzalez Rogers' questions about the evidence on Monday. His appearance also will serve as a sort of bookend to the testimony of Epic CEO Tim Sweeney, who took the stand for two days during the first two days of trial. The CEOs' testimony could be a study in contrasts. Cook has emerged as a polished, confident public speaker since inheriting his CEO job nearly a decade ago from Apple's late co-founder Steve Jobs. But Sweeney is far more soft spoken, and often had to be asked to speak up during his testimony that         at times included statements  that seemed to bolster Apple's defense. Cook will also have the advantage of listening to how Epic's lawyers have been grilling Apple executives who have been taking the stand. That list has included Phil Schiller, Apple's former marketing guru and a Jobs confidant who was on the stand Monday and Tuesday. Apple's software chief, Craig Federighi, took the stand Wednesday to discuss the various ways the company insulates its products from hackers. The specter of Jobs is likely to be raised while Cook is on the stand, based on Epic's strategy in the so far. Epic lawyers have repeatedly referred back to Jobs' initial predictions that Apple wouldn't make much money from the app store when he unveiled it 13 years ago. Since then, the app store has become more successful than anyone envisioned and a major contributor to the profit growth that has helped give Apple its current market value of nearly $2.1 trillion. Just how much money Apple makes from the app store has remained a heated point of contention during the trial, although Schiller conceded during his testimony that the Cupertino, California, had pocketed at least $20 billion from it through June 2017, based on calculations from         figures publicly released as that time. 24/7 coverage of breaking news and live events"
