,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'abc-news', 'name': 'ABC News'}",The Associated Press,How major US stock indexes fared Friday,Stocks ended a wobbly day with mixed results on Wall Street,https://abcnews.go.com/Business/wireStory/major-us-stock-indexes-fared-friday-77835436,null,2021-05-21T20:18:28Z,"Stocks ended a wobbly day with mixed results on Wall Street. The S&amp;P 500 index gave up an early gain and ended 0.1% lower Friday, giving the benchmark index its second losing week in a row.
Loss… [+983 chars]"
1,"{'id': 'abc-news', 'name': 'ABC News'}",The Associated Press,Lady Gaga says rape at 19 led to a 'total psychotic break',"Lady Gaga says she got pregnant at 19 after being raped by a music producer early in her career, a trauma that triggered a “total psychotic break.”",https://abcnews.go.com/Entertainment/wireStory/lady-gaga-rape-19-led-total-psychotic-break-77827783,https://s.abcnews.com/images/Lifestyle/WireAP_3d29715f649f4c1785acd36052e5a984_16x9_992.jpg,2021-05-21T14:26:30Z,"Lady Gaga says she got pregnant at 19 after being raped by a music producer early in her career, a trauma that triggered a total psychotic break.
The singer-songwriter opened up about the ordeal on … [+779 chars]"
2,"{'id': 'abc-news', 'name': 'ABC News'}",ELAINE KURTENBACH AP Business Writer,Asian stocks mixed after Wall St rebound breaks 3-day slump,Asian shares are mixed after a rebound on Wall Street broke a three-day losing streak,https://abcnews.go.com/Business/wireStory/asian-stocks-mixed-wall-st-rebound-breaks-day-77821506,https://s.abcnews.com/images/Business/WireAP_685056092817405d95799bf660809c39_16x9_992.jpg,2021-05-21T06:48:47Z,"BANGKOK -- Asian shares were mixed Friday after a rebound on Wall Street broke a three-day losing streak.
Benchmarks rose in Tokyo, Taipei and Sydney but fell in Hong Kong and Shanghai.
Investors w… [+3642 chars]"
3,"{'id': 'abc-news', 'name': 'ABC News'}",MICHAEL LIEDTKE AP Technology Writer,Apple brings CEO Tim Cook to court in defense of app store,Apple CEO Tim Cook will take the witness stand Friday to defend the company’s iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs ever envisioned,https://abcnews.go.com/Business/wireStory/apple-brings-ceo-tim-cook-court-defense-app-77820424,https://s.abcnews.com/images/Technology/WireAP_f0e611c5999043bd86f6a4bf16f15aff_16x9_992.jpg,2021-05-21T04:16:17Z,"SAN RAMON, Calif. -- Apple CEO Tim Cook will take the witness stand Friday to defend the company's iPhone app store against charges that it has grown into an illegal monopoly one far more profitable … [+4448 chars]"
4,"{'id': 'abc-news', 'name': 'ABC News'}",MICHAEL LIEDTKE AP Technology Writer,Apple brings CEO Tim Cook to court in defense of app store,Apple CEO Tim Cook will take the witness stand Friday to defend the company’s iPhone app store against charges that it has grown into an illegal monopoly — one far more profitable than his predecessor Steve Jobs ever envisioned,https://abcnews.go.com/Technology/wireStory/apple-brings-ceo-tim-cook-court-defense-app-77820156,https://s.abcnews.com/images/Technology/WireAP_f0e611c5999043bd86f6a4bf16f15aff_16x9_992.jpg,2021-05-21T04:16:00Z,"SAN RAMON, Calif. -- Apple CEO Tim Cook will take the witness stand Friday to defend the company's iPhone app store against charges that it has grown into an illegal monopoly one far more profitable … [+4448 chars]"
5,"{'id': 'abc-news', 'name': 'ABC News'}",Thomas Smith,Disney PhotoPass Service x Snap: Announcing New PhotoPass Snapchat Lenses and Can’t-Miss Surprises for the Walt Disney World 50th Anniversary!,"Disney PhotoPass Service is teaming up with Snap to show you Walt Disney World Resort in a whole new way, with magical augmented reality experiences to share with your friends and family – and featuring some of your favorite Disney characters.",https://disneyparks.disney.go.com/blog/2021/05/disney-photopass-service-x-snap-announcing-new-photopass-snapchat-lenses-and-cant-miss-surprises-for-the-walt-disney-world-50th-anniversary/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2021/05/ssc0294802938402948203984520354.jpg,2021-05-20T17:35:50Z,"Disney PhotoPass Service is teaming up with Snap to show you Walt Disney World Resort in a whole new way, with magical augmented reality experiences to share with your friends and family and featurin… [+3503 chars]"
6,"{'id': 'abc-news', 'name': 'ABC News'}",Thomas Smith,Celebrate 25 Years of Fantasia Gardens with a Tee-rific Disney Digital Wallpaper,"Today marks the 25th anniversary of un-fore-gettable fun golfing adventures at Fantasia Gardens at Walt Disney World Resort. And to celebrate this one-of-a-kind golf experience inspired by Walt Disney’s classic animated film “Fantasia” - we’re sharing a new, …",https://disneyparks.disney.go.com/blog/2021/05/celebrate-25-years-of-fantasia-gardens-with-a-tee-rific-disney-digital-wallpaper/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2021/05/u2ytrgywe6t87yiu2oj4r.jpg,2021-05-20T15:00:49Z,Today marks the 25th anniversary of un-fore-gettable fun golfing adventures at Fantasia Gardens at Walt Disney World Resort. And to celebrate this one-of-a-kind golf experience inspired by Walt Disne… [+1079 chars]
7,"{'id': 'abc-news', 'name': 'ABC News'}",DAVID BAUDER AP Entertainment Writer,"Streaming series shows collision of music, history in 1971","A new Apple TV+ series makes the case, at some length, that 1971 was a landmark year in how popular music reflected the tumultuous times",https://abcnews.go.com/Entertainment/wireStory/streaming-series-shows-collision-music-history-1971-77801855,https://s.abcnews.com/images/Entertainment/WireAP_96ee23b6ff7742d1a5f99eee4ecb533e_16x9_992.jpg,2021-05-20T13:54:11Z,"NEW YORK -- Chrissie Hynde wouldn't make her own mark in music until a few years later, but her memories of how 1971's daily soundtrack was tied to the times remain vivid.
Music said something, the … [+3638 chars]"
8,"{'id': 'abc-news', 'name': 'ABC News'}",The Associated Press,Today in History,"Today in History 

Today is Thursday, May 20, the 140th day of 2021. There are 225 days left in the year. 

Today’s Highlight in History: 

On May 20, 1927, Charles Lindbergh took off from Roosevelt Field on Long Island, New York, aboard the Spirit of St. Lou…",https://abcnews.go.com/US/wireStory/today-history-77795437,null,2021-05-20T04:01:00Z,"Today in History
Today is Thursday, May 20, the 140th day of 2021. There are 225 days left in the year.
Todays Highlight in History:
On May 20, 1927, Charles Lindbergh took off from Roosevelt Fiel… [+4509 chars]"
9,"{'id': 'abc-news', 'name': 'ABC News'}",MICHAEL LIEDTKE AP Technology Writer,Apple CEO Tim Cook to testify Friday as Epic trial nears end,Apple CEO Tim Cook will take the witness stand on Friday in a high-stakes courtroom battle,https://abcnews.go.com/Business/wireStory/apple-ceo-tim-cook-testify-friday-epic-trial-77785919,https://s.abcnews.com/images/Technology/WireAP_7b42223ca2294a0f9ef292f99b401e87_16x9_992.jpg,2021-05-19T18:32:01Z,"SAN RAMON, Calif -- Apple CEO Tim Cook will take the witness stand this Friday in a high-stakes courtroom battle over the lucrative commissions the iPhone maker has been raking in from its mobile app… [+3044 chars]"
