category,datetime,headline,id,image,related,source,summary,url,articles
company,1623110079,Apple's new 'private relay' feature will not be available in China ,68011194,,AAPL,Reuters,"Apple Inc on Monday said a new ""private relay"" feature designed to obscure a user's web browsing behavior from internet service providers and advertisers will not be available in China for regulatory reasons.",https://finnhub.io/api/news?id=b5c3de85e4357a46bdffb9c0e27ef8c7fe4ff1a4989f5f108a936ec7fb1d76c4,"Discover Thomson Reuters By Stephen Nellis, Paresh Dave 3 Min Read (Reuters) -Apple Inc on Monday said a new “private relay” feature designed to obscure a user’s web browsing behavior from internet service providers and advertisers will not be available in China for regulatory reasons. The feature was one of a number of privacy protections Apple announced at its annual software developer conference on Monday, the latest in a years-long effort by the company to cut down on the tracking of its users by advertisers and other third parties. Apple’s decision to withhold the feature in China is the latest in a string of compromises the company has made on privacy in a country that accounts for nearly 15% of its revenue. In 2018, Apple moved the digital keys used to lock Chinese users’ iCloud data, allowing authorities to work through domestic courts to gain access to the information. China’s ruling Communist Party maintains a vast surveillance system to keep a close eye on how citizens use the country’s heavily controlled internet. Under President Xi Jinping, the space for dissent in China has narrowed, while censorship has expanded. Apple’s “private relay” feature first sends web traffic to a server maintained by Apple, where it is stripped of a piece of information called an IP address. From there, Apple sends the traffic to a second server maintained by a third-party operator who assigns the user a temporary IP address and sends the traffic onward to its destination website. The use of an outside party in the second hop of the relay system is intentional, Apple said, to prevent even Apple from knowing both the user’s identity and what website the user is visiting. Apple said it also will not offer “private relay” in Belarus, Colombia, Egypt, Kazakhstan, Saudi Arabia, South Africa, Turkmenistan, Uganda and the Philippines. Apple has not yet disclosed which outside partners it will use in the system but said it plans to name them in the future. The feature likely will not become available to the public until later this year. IP addresses can be used to track users in a variety of ways, including as a key ingredient in “fingerprinting,” a practice in which advertisers string together disparate data to deduce a user’s identity. Both Apple and Alphabet Inc’s Google prohibit this. Combined with Apple’s previous steps, the “private relay” feature “will effectively render IP addresses useless as a fingerprinting mechanism,” Charles Farina, head of innovation at digital marketing firm Adswerve, told Reuters. It will also prevent advertisers from using IP addresses to pinpoint a person’s location, he said. Reporting by Stephen Nellis and Paresh Dave in San Francisco; Editing by Chris Reese and Stephen Coates Our Standards: The Thomson Reuters Trust Principles. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays."
company,1623107375,"Apple's new privacy feature, designed to mask users' internet browsing, won't be available in China",68032499,https://image.cnbcfm.com/api/v1/image/106587904-15928703582020-06-22t173405z_90636234_rc2heh9e4av9_rtrmadp_0_apple-developers.jpeg?v=1592870436,AAPL,CNBC,"Apple's new ""Private Relay"" online browsing feature privacy feature will not be available in China, a market known for strict internet controls and censorship.",https://finnhub.io/api/news?id=38d729b552df4d1cdbc5c9606de09bca3937ee86d1811a21a8a58eaa0833c039," In this article GUANGZHOU, China — Apple's new feature designed to give users more privacy when browsing the web will not be available in China, one of the iPhone maker's most important markets. Apple revealed a new service called iCloud+ at its Worldwide Developers Conference (WWDC) on Monday. One of the features included in that is ""Private Relay."" When users browse the internet using Safari, their data will be sent through two separate servers in order to mask the user's identity and what sites they are visiting. As a result, even Apple or the user's network provider cannot see that data. It's a little like a virtual private network (VPN) where users can route their internet traffic through a server located somewhere else in the world to mask their browsing activity. China so-called Great Firewall effectively allows authorities to block websites from being accessed within China including Google and Facebook. VPNs are often used to get around China's strict internet controls. An Apple spokesperson told CNBC that Private Relay will not work in China and some other countries including Saudi Arabia, Egypt, Belarus and Uganda. Apple said it could not offer the feature in these countries due to local laws. Using unauthorized VPNs to access blocked websites is illegal in China. While Apple's Private Relay is not technically a VPN, it acts in a similar way. In 2017, the U.S. technology giant removed a number of VPN services from its China App Store to comply with local regulations. Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services.  © 2021 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by "
company,1623099351,"Apple adds virtual IDs on iPhone, video plans that rival Zoom, Teams",68011199,https://static.reuters.com/resources/r/?m=02&d=20210607&t=2&i=1564818949&r=LYNXNPEH56197,AAPL,Reuters,"Apple Inc, facing accusations from rivals that it has too much control over its App Store, on Monday outlined plans to increase user privacy and keep consumer data out of other companies' hands, laying out features including expanded video conferencing and storing virtual...",https://finnhub.io/api/news?id=e6293a6b98321c7bcc1c3a8e71aba8bf10c46f32d3c2fa752820dcaea10504ff,"Apple CEO Tim Cook greets developers during Apple?s Worldwide Developers Conference at Apple Park in Cupertino, California, U.S., June 7, 2021.   Brooks Kraft/Apple Inc./Handout via REUTERS   Apple Inc (AAPL.O), facing accusations from rivals that it has too much control over its App Store, on Monday outlined plans to increase user privacy and keep consumer data out of other companies’ hands, laying out features including expanded video conferencing and storing virtual government IDs on iPhones. The changes came at Apple's annual Worldwide Developers Conference for software developers, some of whom have started to complain about Apple's grip over which apps can appear on its devices, as well as its 15% to 30% commissions on digital sales. Many of the new features allow users to safeguard data, trusting the information to the Apple brand. Users will be able to scan ID cards in participating U.S. states, and the cards will be encrypted in a user's digital wallet, along with credit cards and transit cards in some U.S. cities. It is working with the U.S. Transportation Security Administration to accept the digital IDs at airports. In many cases, Apple itself cannot see all the information. The company has updated the paid version of its iCloud storage service to include a service that obscures a user's Web-browsing habits, even from Apple. Another new iCloud feature will let users hide their real email address, which has become increasingly used as an identifier for digital marketers to track users. Apple said iCloud pricing will not change with the new features. Apple also tweaked some of its apps and services in ways that could intensify its rivalries with Zoom Video Communications Inc (ZM.O) and Microsoft Corp's (MSFT.O) Teams, both of which gained prominence during the pandemic. It updated its FaceTime video chat app to allow scheduling calls with multiple attendees and making the software compatible with Android and Windows devices. Apple also introduced what it calls in-app events, a way for developers to host live events within apps and have those events featured in real time in the App Store. Video game developers, for example, could host live tournaments and market those on the App Store, which Apple's current systems are not built to handle. The move could intensify competition with Facebook Inc (FB.O), which on Monday said it was planning to launch an online events business that would be free until 2023 and thereafter will charge commissions lower than Apple’s 30% fees for the App Store.  Several of the other features Apple introduced Monday, such as the ability to snap a photo of a sign and use artificial intelligence to pluck out the written text, have been present on the rival Android operating system for several years. The rest of Apple's conference is dedicated to technical sessions for developers, some of whom have bristled at its controls and fees. Those issues have come under regulatory scrutiny and are at the heart of an antitrust lawsuit brought by “Fortnite” creator Epic Games, in which a federal judge is considering how to rule.  Apple has said its App Store practices increase the market for mobile software by creating an environment for paid apps that consumers trust, and Apple Chief Executive Tim Cook and his team did not address frayed developer relations during the presentation. Not all developers have negative sentiments, said Ben Bajarin, chief executive at Creative Strategies, who has been surveying Apple developers and found more than 90% have no plans to stop making apps for Apple devices. However, some complaints are widespread, with more than half of developers saying fees should be capped at 10%, and many wanting more clarity around reasons for rejecting apps from the App Store and how to resolve such issues, Bajarin said. Our Standards: The Thomson Reuters Trust Principles. Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox. Thousands of government, news and social media websites across the globe were coming back online on Tuesday after getting hit by a widespread hour-long outage linked to U.S.-based cloud company Fastly Inc (FSLY.N). Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
company,1623099351,Factbox: Top takeaways from Apple's Developers Conference,68011182,https://static.reuters.com/resources/r/?m=02&d=20210607&t=2&i=1564828580&r=LYNXNPEH561C3,AAPL,Reuters,"Apple Inc on Monday announced a host of new features to software running on its smartphones, tablets, computers and wearable devices at its annual worldwide Developers Conference, with a focus on privacy.",https://finnhub.io/api/news?id=b0c1f554acc6bb1a6091db2908037c46b9a608c602783767d46db3119c613b5d,"Apple Inc (AAPL.O) on Monday announced a host of new features to software running on its smartphones, tablets, computers and wearable devices at its annual worldwide Developers Conference, with a focus on privacy. Here are the main takeaways from the conference: FACETIME COMES TO ANDROID, WINDOWS Apple's video and audio chat app, FaceTime, adds the ability to schedule calls with multiple attendees and making the software compatible with Android and Windows devices. Unlike Zoom (ZM.O), Microsoft Corp's (MSFT.O) Teams and other video conferencing services, FaceTime was limited to Apple devices. The move comes as video conferencing services have seen a meteoric rise, with users shifting to remote work and online learning during the pandemic. The new SharePlay feature will enable real-time interaction between people while on FaceTime calls, including co-watching videos, streaming shows and films, as well as listening to music and screen sharing. SharePlay will keep everyone's playback in sync and is set to work with Disney+ (DIS.N), ESPN+, HBO Max (T.N), Hulu, MasterClass, Paramount+ (VIAC.O), Pluto TV, TikTok, Twitch (AMZN.O). (https://apple.co/3cp3KHz) DEVELOPERS GET BOOST WITH IN-APP EVENTS Apple has offered developers a way to host live events within apps, calling the feature in-app events. User can participate in events such as live competitions on a gaming app in the App Store through personalized recommendations, editorial selections, search results and app product pages. The move could intensify competition with Facebook, which on Monday said it was planning to launch an online events business that would be free until 2023 and thereafter will charge commissions lower than Apple's 30%.  read more  IPHONES TO REPLACE ID CARDS The iPhone maker is also looking to offer the ability of storing digitized versions of state-issued identification cards on its smartphones. It is working with the U.S. Transportation Security Administration for the acceptance of digital IDs at airports, one of several updates to the software that runs on its devices. UPS PRIVACY FEATURES Apple introduced App privacy reports as a new way for users to track how often third-party apps use data and where they send it. Its email apps will be updated to block senders using trackers that detect when an email is opened. Additionally, Siri requests will now be processed entirely on iPhones by default, without being routed to an Apple server to respond to requests, making the service faster and more secure.  ICLOUD BECOMES ICLOUD+ Apple overhauled its storage service subscription, iCloud+. New features include ""private relay"" that hides a user's identity and browsing data from both Apple and advertisers on its web browser, Safari. Another feature lets users hide their email addresses when filling out online forms, helping them control who can contact them. MACS CAN BE USED TO CONTROL OTHER APPLE DEVICES Apple added a feature that would let users control several devices at once, including moving the cursor and dragging objects across screens, thus giving them control over other Apple devices from Mac computers and laptops. It announced other software improvements to make working across its devices easier. These features, like many other flagship Apple features, will not work with third party devices. (https://apple.co/3cp3KHz) Our Standards: The Thomson Reuters Trust Principles. Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox. Thousands of government, news and social media websites across the globe were coming back online on Tuesday after getting hit by a widespread hour-long outage linked to U.S.-based cloud company Fastly Inc (FSLY.N). Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
company,1623091979,"Apple is turning privacy into a business advantage, not just a marketing slogan",68005525,https://image.cnbcfm.com/api/v1/image/106893386-1623091681148Screen-Shot-2021-06-07-at-2-46-31-PM-png?v=1623091743,AAPL,CNBC,"Privacy was mentioned as part of nearly every new feature Apple announced on Monday, and got stage time of its own. ",https://finnhub.io/api/news?id=51f9e806092681a03cecdb9a86670d16c0f2a30fd4e11aa7991bbfb91956152c," In this article Apple unveiled new versions of its operating systems on Monday which showed that the company's focus on privacy has taken a new turn. It's not just a corporate ideal or a marketing point anymore. It's now a major initiative across Apple distinguishing its products from Android and Windows competition. Apple has positioned itself as the most privacy-sensitive big technology company since Apple CEO Tim Cook wrote an open letter on the topic in 2014. Since then, Apple has introduced new iPhone features that restrict app access to personal data and advertised privacy heavily in television ads. But Monday's announcements showed that Apple's privacy strategy is now part of its products: Privacy was mentioned as part of nearly every new feature, and got stage time of its own. Privacy-focused features and apps announced by Apple on Monday for forthcoming operating systems iOS 15 or MacOS Monterey included: With its focus on privacy, Apple is leaning on one of its core strengths. Increasingly, data is being processed on local devices, like a computer or phone, instead of being sent back to big servers to analyze. This is both more private, because the data doesn't live on a server, and potentially faster from an engineering standpoint. Read more: Apple's new privacy feature, designed to mask users' internet browsing, won't be available in China Because Apple designs both the iPhone and processors that offer heavy-duty processing power at low energy usage, it's best poised to offer an alternative vision to Android developer Google which has essentially built its business around internet services. This engineering distinction has resulted in several new apps and features that do significantly more processing on the phone instead of in the cloud, including: Apple's privacy infrastructure also allows it to expand into big new markets like online payments, identity, and health, both from a product and marketing perspective. It can build new products while being sure that it's following best practices for not collecting unnecessary data or violating policies like Europe's strict General Data Protection Regulation (GDPR). In addition, users may feel more comfortable about features that deal with sensitive data or topics — like finance or health — because they trust Apple and its approach to data. Features introduced by Apple on Monday show how the company is using its user data position to break into these lucrative markets. Cook has said ""privacy is a fundamental human right"" and that the company's policies and his personal stance doesn't have to do with commerce or Apple's products. But being the big technology company that takes data issues seriously could end up being lucrative and allow Apple more freedom to launch new services and products. Facebook, Apple's Silicon Valley neighbor and vocal Apple critic, has increasingly dealt with challenges launching new products because of the company's poor reputation on how it handles user data. Americans also say that privacy is factoring into buying decisions. A Pew study from 2020 said that 52% of Americans decided not to use a product or service because of concerns over data protection. Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services.  © 2021 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by "
company,1623091699,DRIV: This Autonomous/EV Fund's Top-10 Holdings Will Surprise You,68003699,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1196002842/medium_image_1196002842.jpg,AAPL,SeekingAlpha,"The Global X Autonomous & EV ETF is avoiding the arguably sky-high valuations of most EV makers. Instead, it is more heavily invested in the software and hardware technology enablers.",https://finnhub.io/api/news?id=c93201040a516c4919671edab0dca1881ba4a5be00fee9fb31da9193b57d84a4,
company,1623088684,Google Surpasses Amazon To Become 3rd Most Valuable US Company,68004790,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1862292832,AAPL,Nasdaq,"(RTTNews) - Alphabet Inc. (GOOGL, GOOG), the parent company of search giant Google, has surpassed retail giant Amazon Inc. (AMZN) on a market-capitalization basis.",https://finnhub.io/api/news?id=b6efd1ff46a808e7c840600253640e5c28a2ad9930359187210bbd6a6bd09bc2,
company,1623085961,"GLOBAL MARKETS-MSCI'S ACWI ends at record, oil hits 2-year high",68001214,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-07T171352Z_1_GQ2_RTRLXPP_2_LYNXPACKAGER.JPG?1003790295,AAPL,Nasdaq,"A gauge of global equity markets closed at a record high on Monday as technology shares took in stride a deal by the world's richest nations on a corporate tax aimed at U.S. tech heavyweights, and oil prices jumped to a two-year high.",https://finnhub.io/api/news?id=9dd80929592ead50106df395593c6b33571c2f6bf13153cf0d9b7aafd76a3529,
company,1623085827,"Ahead of Apple's developer conference, Facebook says it won't charge creators until 2023",68011181,https://static.reuters.com/resources/r/?m=02&d=20210607&t=2&i=1564808289&r=LYNXNPEH5615B,AAPL,Reuters,"Facebook Inc will not charge a fee to content creators for at least the next two years, Chief Executive Mark Zuckerberg said on Monday, moments before Apple Inc's annual conference, where the iPhone maker faces an unsettled developer audience.",https://finnhub.io/api/news?id=b2e30acfee49597f5e3c7ebd027e8ea4f3de8af905c3e413128e104529fcbee1,"The Facebook logo is displayed on a mobile phone in this picture illustration taken December 2, 2019. REUTERS/Johanna Geron/Illustration/File Photo Facebook Inc (FB.O) will not charge a fee to content creators for at least the next two years, Chief Executive Mark Zuckerberg said on Monday, moments before Apple Inc's (AAPL.O) annual conference, where the iPhone maker faces an unsettled developer audience. ""And when we do introduce a revenue share, it will be less than the 30% that Apple and others take."" Apple's control over what apps make it to its app platform and its commissions of 15% to 30% on digital sales have come under regulatory scrutiny, with the iPhone maker having to defend itself in court over its App Store practices. Paid online events, fan subscriptions, badges, and Facebook's upcoming independent news products will be free for creators until 2023, Zuckerberg said in a blog post. A growing concern in the creator economy is the growing income disparity, where top social media personalities often garner outsized earnings, while smaller creators can struggle to make a living. Our Standards: The Thomson Reuters Trust Principles. Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox. An Australian man pleaded guilty on Tuesday to involvement in what U.S. prosecutors called a scheme to bilk hundreds of thousands of mobile phone users out of more than $50 million for unwanted text messaging services. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
company,1623085672,"Ahead of Apple's developer conference, Facebook says it won't charge creators until 2023",67991467,https://static.reuters.com/resources/r/?m=02&d=20210607&t=2&i=1564807421&r=LYNXNPEH56154,AAPL,Reuters,"Facebook Inc will not charge a fee to content creators for at least the next two years, Chief Executive Mark Zuckerberg said on Monday, moments before Apple Inc's annual conference, where the iPhone maker faces an unsettled developer audience.",https://finnhub.io/api/news?id=6302067e0883a52e6e9b0f45a300ede724338db70fb310b35f1593fc32ba571c,"The Facebook logo is displayed on a mobile phone in this picture illustration taken December 2, 2019. REUTERS/Johanna Geron/Illustration/File Photo Facebook Inc (FB.O) will not charge a fee to content creators for at least the next two years, Chief Executive Mark Zuckerberg said on Monday, moments before Apple Inc's (AAPL.O) annual conference, where the iPhone maker faces an unsettled developer audience. ""And when we do introduce a revenue share, it will be less than the 30% that Apple and others take."" Apple's control over what apps make it to its app platform and its commissions of 15% to 30% on digital sales have come under regulatory scrutiny, with the iPhone maker having to defend itself in court over its App Store practices. Paid online events, fan subscriptions, badges, and Facebook's upcoming independent news products will be free for creators until 2023, Zuckerberg said in a blog post. A growing concern in the creator economy is the growing income disparity, where top social media personalities often garner outsized earnings, while smaller creators can struggle to make a living. Our Standards: The Thomson Reuters Trust Principles. Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox. An Australian man pleaded guilty on Tuesday to involvement in what U.S. prosecutors called a scheme to bilk hundreds of thousands of mobile phone users out of more than $50 million for unwanted text messaging services. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology. The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs. The industry leader for online information for tax, accounting and finance professionals. Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface. Access to real-time, reference, and non-real time data in the cloud to power your enterprise. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes. See here for a complete list of exchanges and delays. © 2021 Reuters. All rights reserved"
